phen tissue Enrich_G SE_G p_G padj_G lgpval_G cat_tiss sig_G Enrich_GxE SE_GxE p_GxE padj_GxE lgpval_GxE sig_GxE
ala_at Adipose_Subcutaneous 3.16358 1.33056 0.00871213878467806 0.0544508674042379 2.05987521487076 Adipose 4 0.133189 3.95968 0.486583586138644 0.885951239658755 0.312842545157859 1
ala_at Adipose_Visceral_(Omentum) 1.81284 0.987161 0.033147946880736 0.127492103387446 1.47954336578048 Adipose 2 -1.80101 3.41134 0.701232272718002 0.885951239658755 0.154138104642113 1
ala_at Cells_EBV-transformed_lymphocytes 3.83564 1.10635 0.000263217717675574 0.00493657645190294 3.57968488090247 Blood/Immune 4 5.57 4.82681 0.12425597670155 0.728051425923245 0.905682712565841 1
ala_at Spleen 0.833134 1.15362 0.235088522996847 0.489767756243431 0.628768572579889 Blood/Immune 1 -1.26928 4.60542 0.608574534155022 0.885951239658755 0.215686224681342 1
ala_at Whole_Blood 0.778317 1.26271 0.268819834417289 0.516961220033248 0.57053869075144 Blood/Immune 1 9.00956 6.45703 0.0814611545815033 0.581865389867881 1.08904943877712 1
ala_at Brain_Amygdala -0.388972 0.718872 0.705776050020916 0.767147880457517 0.151333083182393 Brain 1 -6.67375 4.4984 0.931040215808057 0.950041036538834 0.0310315594844874 1
ala_at Brain_Anterior_cingulate_cortex_(BA24) 0.00959953 0.660427 0.494201443095559 0.696689848345492 0.306095990768171 Brain 1 -1.53754 3.83853 0.655625880156551 0.885951239658755 0.183343911435672 1
ala_at Brain_Caudate_(basal_ganglia) -0.00650074 0.69331 0.503740580749792 0.696689848345492 0.297793061479388 Brain 1 -0.706593 4.29868 0.56528179731877 0.885951239658755 0.247734999063661 1
ala_at Brain_Cerebellar_Hemisphere -0.182244 0.89853 0.580363940524919 0.705685830924552 0.236299579207335 Brain 1 -2.44659 4.61502 0.701991311708504 0.885951239658755 0.153668262941995 1
ala_at Brain_Cerebellum -0.0662542 0.914541 0.528876233613383 0.696689848345492 0.276645948659731 Brain 1 -2.97737 4.86391 0.729775809497912 0.885951239658755 0.136810536662919 1
