phen tissue Enrich_G SE_G p_G padj_G lgpval_G cat_tiss sig_G Enrich_GxE SE_GxE p_GxE padj_GxE lgpval_GxE sig_GxE
ala_at Adipose_Subcutaneous 3.246 1.38194 0.00941519255792718 0.0623756506962676 2.02617079343913 Adipose 4 -1.59929 3.87 0.660289453800629 0.852863451048338 0.180265639260034 1
ala_at Adipose_Visceral_(Omentum) 1.90853 0.985279 0.0263699065699367 0.116402646552973 1.57889140893363 Adipose 2 3.19595 3.10162 0.15140805402433 0.852863451048338 0.819851022291096 1
ala_at Cells_EBV-transformed_lymphocytes 3.72055 1.10135 0.000364846799371628 0.00767635000507089 3.43788945925464 Blood/Immune 4 -1.77256 4.06817 0.66847799932829 0.852863451048338 0.174912881487339 1
ala_at Spleen 0.671761 1.15889 0.281072304014703 0.59587328451117 0.551181946303542 Blood/Immune 1 -0.10784 4.37053 0.509842643902418 0.852863451048338 0.292563842391729 1
ala_at Whole_Blood 1.14901 1.26435 0.181734384132258 0.458662969476652 0.740562896433464 Blood/Immune 1 -4.37883 3.64003 0.885505137216043 0.902534082162505 0.0528089149277651 1
ala_at Brain_Amygdala -0.217027 0.748723 0.614039427151475 0.739638400887004 0.211803742141272 Brain 1 -0.26845 3.47972 0.530746702810197 0.852863451048338 0.275112695147428 1
ala_at Brain_Anterior_cingulate_cortex_(BA24) -0.0175834 0.679885 0.510316420850859 0.717299119504945 0.292160456809494 Brain 1 -0.763264 3.30715 0.591261829585965 0.852863451048338 0.228220157082862 1
ala_at Brain_Caudate_(basal_ganglia) 0.18181 0.708314 0.398712926487018 0.68167048721974 0.399339684049223 Brain 1 -2.13571 2.85351 0.772905659920173 0.890521738603678 0.111873512390151 1
ala_at Brain_Cerebellar_Hemisphere -0.0634164 0.895359 0.528232637718917 0.717299119504945 0.277174768704019 Brain 1 -0.964569 2.64096 0.642531716745301 0.852863451048338 0.192105429759321 1
ala_at Brain_Cerebellum -0.220478 0.913211 0.595389691162332 0.739638400887004 0.225198689188913 Brain 1 -3.48586 3.24793 0.858421839618976 0.892085441172662 0.0662992417581437 1
ala_at Brain_Cortex -0.0362378 0.641362 0.522528778250333 0.717299119504945 0.281889785808024 Brain 1 0.0627048 2.94956 0.491519510792678 0.852863451048338 0.308459238235874 1
ala_at Brain_Frontal_Cortex_(BA9) 0.00849174 0.665258 0.494907807006481 0.717299119504945 0.305475695283424 Brain 1 0.237125 3.34566 0.47174845994313 0.852863451048338 0.326289508946374 1
ala_at Brain_Hippocampus -0.357899 0.679449 0.700816006778502 0.758025476719604 0.154395987353407 Brain 1 -2.76601 2.61743 0.854690712551961 0.892085441172662 0.0681910152515183 1
ala_at Brain_Hypothalamus -0.685669 0.697778 0.837109236301742 0.853207490846006 0.0772178662270375 Brain 1 -0.65115 2.94194 0.58758363252227 0.852863451048338 0.230930310234169 1
ala_at Brain_Nucleus_accumbens_(basal_ganglia) -0.0835509 0.804495 0.541357826041468 0.717299119504945 0.266515580539827 Brain 1 -1.34455 3.95303 0.633121247332681 0.852863451048338 0.198513111459576 1
ala_at Brain_Putamen_(basal_ganglia) -0.0388106 0.682818 0.522663222842767 0.717299119504945 0.28177805792477 Brain 1 -1.74579 3.19466 0.707628994318429 0.852863451048338 0.150194380659822 1
ala_at Brain_Spinal_cord_(cervical_c-1) -1.50428 0.697375 0.984499520905325 0.984499520905325 0.00678449086992031 Brain 1 0.748733 3.27223 0.409506627921237 0.852863451048338 0.387739064730607 1
ala_at Brain_Substantia_nigra 0.0902464 0.622831 0.442396061675414 0.717299119504945 0.354188747888369 Brain 1 -0.628723 3.03505 0.582055237103228 0.852863451048338 0.235035798802336 1
ala_at Artery_Aorta -0.250348 0.949579 0.60397173616551 0.739638400887004 0.218983384416222 Cardiovascular 1 -1.59446 3.38829 0.68102949469169 0.852863451048338 0.166834078829562 1
ala_at Artery_Coronary 0.305743 0.995343 0.379355654841364 0.68167048721974 0.420953437768106 Cardiovascular 1 1.1758 2.88949 0.34203226364184 0.852863451048338 0.465932925345241 1
ala_at Artery_Tibial 0.309882 0.89605 0.364734807632968 0.68167048721974 0.438022788806903 Cardiovascular 1 2.37766 3.0584 0.218455636294756 0.852863451048338 0.660636745735218 1
ala_at Heart_Atrial_Appendage -0.266074 1.13228 0.592891589057516 0.739638400887004 0.227024710646466 Cardiovascular 1 -5.80786 3.80244 0.936669641287403 0.936669641287403 0.0284135556053437 1
ala_at Heart_Left_Ventricle 1.59309 1.14244 0.0815889584560471 0.256427646285695 1.08836861092839 Cardiovascular 1 -1.32103 3.517 0.646397590277685 0.852863451048338 0.189500271248098 1
ala_at Colon_Sigmoid 0.27439 0.877925 0.377313647440634 0.68167048721974 0.423297486076587 Digestive 1 -0.409979 3.4681 0.547051068597663 0.852863451048338 0.26197212928831 1
ala_at Colon_Transverse 1.70829 1.16074 0.0705475857739249 0.249268136401201 1.15151784375233 Digestive 1 0.978588 4.11762 0.406072929649035 0.852863451048338 0.391395961250926 1
ala_at Esophagus_Gastroesophageal_Junction -0.430305 0.904896 0.682795295504034 0.753919805452371 0.165709479859115 Digestive 1 4.5389 3.21238 0.0788366923289239 0.852863451048338 1.1032716052631 1
ala_at Esophagus_Mucosa 1.25717 1.07259 0.120580838898833 0.35504358120212 0.918721699008842 Digestive 1 3.55718 4.37273 0.207968072800416 0.852863451048338 0.682003332685724 1
ala_at Esophagus_Muscularis -0.304819 0.888835 0.634179015305801 0.746921951360166 0.197788132677386 Digestive 1 2.12368 3.64762 0.280212696769709 0.852863451048338 0.552512190206223 1
