E	h2g	h2g.se	h2gxe	h2gxe.se	h2gxe.prop	h2gxe.prop.se	pval
Statin	0.431124	0.156361	0.0178176	0.00385533	0.04132824894925822	0.008942508419851366	1.9044183926434572e-06
Sex	0.251688	0.0967972	0.016673	0.00359117	0.06624471567973046	0.014268340167191123	1.7187899904554912e-06
Age	0.254898	0.0967403	0.0251809	0.00339466	0.0987881427080636	0.013317719244560568	5.954205260230636e-14
Smoking status	0.244077	0.0919601	0.00229142	0.00185674	0.009388102934729615	0.0076071895344501945	0.10858109946814892
