E	h2g	h2g.se	h2gxe	h2gxe.se	h2gxe.prop	h2gxe.prop.se	pval
Statin	0.206684	0.00817719	0.00685114	0.00196138	0.03314789727313193	0.009489752472373285	0.00023879517189335974
Sex	0.207285	0.00807663	0.00940128	0.00181568	0.045354367175627755	0.008759341003931786	1.122416060392624e-07
Age	0.2106	0.00792491	0.00893605	0.00180257	0.042431386514719845	0.008559211775878442	3.57224688407907e-07
Smoking status	0.206688	0.0075322	0.00879732	0.00193144	0.042563283790060386	0.009344712803839602	2.6217909453288577e-06
