E	h2g	h2g.se	h2gxe	h2gxe.se	h2gxe.prop	h2gxe.prop.se	pval
Statin	0.198399	0.00656946	0.00825812	0.00230897	0.041623798507048934	0.01163801228836839	0.00017408705808939813
Sex	0.192773	0.00641506	0.00943582	0.00207548	0.04894782983094105	0.01076644550844776	2.729452358796296e-06
Age	0.199561	0.00607716	0.0198766	0.00205878	0.09960162556812203	0.010316544815870838	2.351033948374882e-22
Smoking status	0.200163	0.00614665	0.00616059	0.00212999	0.030777866039178068	0.010641277358952454	0.001912105979858581
