pheno	h2g.female	h2g.se.female	h2g.male	h2g.se.male	h2gxe.female	h2gxe.se.female	h2gxe.male	h2gxe.se.male	h2gxe.prop.female	h2gxe.prop.se.female	h2gxe.prop.male	h2gxe.prop.se.male	Category	h2g	h2g.se	h2gxe	h2gxe.se	h2exn	h2exn.se	h2tot	h2tot.se
BMD Heel T-score	0.403047	0.0414345	0.516074	0.0521539	-0.0176827	0.0125417	-0.017389	0.0106964	-0.0438725508439462	0.03111721461765	-0.0336947802059394	0.020726484961459	Anthropometry	0.446529	0.0458924	-0.00430792	0.00604268	0.0237324	0.00604487	0.465953	0.0459095
Body mass index	0.338001	0.0160057	0.331558	0.0140238	0.00335837	0.00360176	0.00556264	0.00345347	0.0099359765207795	0.0106560631477421	0.016777275770755	0.0104158850035287	Anthropometry	0.329983	0.0138536	0.00701058	0.00179937	-0.0289967	0.00178666	0.307997	0.0138953
Diastolic blood pressure	0.168694	0.00789039	0.240624	0.00902974	0.00592543	0.00487377	0.0128767	0.00379259	0.035125315660308	0.0288911875941053	0.0535137808364917	0.0157614784892612	Blood pressure	0.198399	0.00656946	0.00825812	0.00230897	-0.00812389	0.00230192	0.198533	0.0065832
Systolic blood pressure	0.179789	0.00764932	0.2455	0.010703	-0.000845932	0.00418064	0.0163726	0.00353668	-0.00470513768918	0.0232530355027281	0.0666908350305499	0.0144060285132382	Blood pressure	0.206684	0.00817719	0.00685114	0.00196138	-0.00758804	0.00197592	0.205948	0.00816845
Calcium	0.202567	0.0239892	0.190848	0.0224745	0.00981391	0.00532219	0.00111885	0.00381977	0.0484477234692719	0.0262737267175798	0.005862518863179	0.020014723759222	Other	0.189996	0.0229194	0.00518312	0.00231024	0.00838648	0.00231467	0.203566	0.0229491
Cholesterol	0.376831	0.0859111	0.440212	0.135777	0.00919042	0.00401167	0.0305133	0.0105051	0.024388704750936	0.0106458067409528	0.069315011857923	0.0238637292940674	Lipid metabolism	0.403365	0.112169	0.0163271	0.00330062	-0.0219637	0.00319971	0.397728	0.112279
C-reactive protein	0.394379	0.128467	0.421538	0.0973814	0.00523833	0.00416081	0.00596587	0.00405135	0.0132824770081571	0.010550282849746	0.0141526268094454	0.0096108773111795	Blood biochemistry	0.40132	0.110947	0.0059716	0.00191492	-0.0169253	0.00193788	0.390366	0.111051
Creatinine	0.294883	0.0173355	0.334815	0.0166941	0.00435375	0.00510549	0.00311064	0.00444181	0.0147643302597979	0.0173136125175069	0.009290623179965	0.0132664605827098	Kidney	0.302993	0.015675	0.00157671	0.00238591	0.0679835	0.00235706	0.372553	0.0157111
Creatinine in urine	0.0773055	0.00448836	0.0947547	0.00448652	-0.000243876	0.00412899	0.0070867	0.00309564	-0.0031547043871393	0.0534113355453363	0.0747899576485388	0.03267004169714	Kidney	0.0782726	0.00288383	0.000344533	0.00181348	-0.00977399	0.00181298	0.0688432	0.00288367
Cystatin-C	0.362279	0.0745209	0.379835	0.0776531	0.00257762	0.00505021	-0.00052776	0.00461061	0.0071150135668918	0.0139401124547655	-0.0013894454170889	0.0121384548553977	Kidney	0.370243	0.0771914	0.00535969	0.00227011	0.0466125	0.00226463	0.422215	0.0772231
