E	h2g	h2g.se	h2gxe	h2gxe.se	h2gxe.prop	h2gxe.prop.se	pval
Statin	0.403365	0.112169	0.0163271	0.00330062	0.04047723525838881	0.00818271292749743	3.7745603535457975e-07
Sex	0.241795	0.0655076	0.013372	0.00266525	0.05530304596869249	0.011022767220165843	2.62197141937677e-07
Age	0.247154	0.06521	0.0240392	0.00321931	0.09726405399062932	0.013025522548694336	4.096266355129042e-14
Smoking status	0.230904	0.0606248	0.00311834	0.0017318	0.013504919793507257	0.007500086616082874	0.03588020042639237
