sample.size	true.gxe.se	rand.gxe.se
30k	0.02327030293060275	0.008697076105524833
50k	0.015758903642431602	0.0045971109627660715
100k	0.008280799498170451	0.0023133014999941106
300k	0.003839709363880943	0.001114998277108543
