sample.size	h2gxe.se	h2gxe.se.se	true.se
30k	0.02327030293060275	0.002363064932048208	0.02327030293060275
50k	0.015758903642431602	0.0012728951034016904	0.015758903642431602
100k	0.008280799498170451	0.000752151519330055	0.008280799498170451
300k	0.003839709363880943	0.0008712494857197393	0.003839709363880943
