true.gxe	h2gxe.se	h2gxe.se.se	true.se
0.1	0.003839709363880943	0.0008712494857197393	0.003839709363880943
0.05	0.0027228171516692047	0.00023290897212591445	0.0027228171516692047
0.01	0.0019721029644133594	0.0001381970147208687	0.0019721029644133594
0.005	0.0016091138550341894	0.00014606795209391415	0.0016091138550341894
