E	h2g	h2g.se	h2gxe	h2gxe.se	h2gxe.prop	h2gxe.prop.se	pval
Statin	0.242306	0.00943645	0.00407718	0.00195505	0.01682657466179129	0.008068516669005307	0.018513749608728668
Sex	0.25941	0.00970839	0.00906457	0.0019059	0.0349430245557226	0.0073470567826992034	9.870512876880079e-07
Age	0.256307	0.00984445	0.00677739	0.00167104	0.0264424693824203	0.006519681475730276	2.4982396847268787e-05
Smoking status	0.256384	0.00989557	0.00893343	0.00188395	0.03484394501997004	0.007348157451323015	1.0588168263515284e-06
