pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
blood_mscv 0.0637667 0.00821191 0.0487466 0.00820476 0.00968181 0.00391004 0.00153736 0.000644572 0.00642132 0.00161121 0.0557803 0.00953252 0.0858259 0.0107461 0.0409285 0.00816314 0.0130508 0.00477631 0.0107815 0.00259454 0.00134261 0.00103479 2.28107e-06 0.0003266 1.83264e-05 0.00061626 0.000834475 0.00103368 0.00115214 0.00120839 0.000759589 0.000599705 0.0136425 0.00534656 0.0279417 0.00530149 0.312688 0.0250621
blood_platelet_distrib_width 0.071062 0.0206133 0.0512385 0.0153657 0.0142729 0.00558921 -0.000374458 0.000602284 0.0108832 0.00438458 0.0429509 0.00653859 0.112157 0.0138302 0.0548977 0.00996852 0.0110414 0.00357904 -0.0029302 0.00222977 0.000951674 0.000976689 0.000268436 0.000311436 -5.40825e-05 0.000676014 0.000570918 0.00114278 -0.000144147 0.00122914 0.000553706 0.000558797 0.00582774 0.00431075 0.0102577 0.00430656 0.357088 0.0462516
blood_platelet 0.0742724 0.00999094 0.0639035 0.0150359 0.0127242 0.0032608 0.00192568 0.000781492 0.0102896 0.0028788 0.0660191 0.00974053 0.1316 0.0127396 0.0452744 0.0106296 0.00189848 0.00464073 -0.00126032 0.00262245 0.000376106 0.000925643 0.000303388 0.000309046 0.000479213 0.000574513 -0.00258889 0.00107341 0.00131551 0.00100192 7.02357e-05 0.000495153 0.0259235 0.00448916 0.000593725 0.00446847 0.406009 0.0314795
blood_rbc_count 0.0538669 0.00665567 0.0466486 0.00663619 0.00918838 0.00273705 0.00206252 0.000800972 0.0102494 0.00219112 0.0546171 0.005989 0.102854 0.0110038 0.0425032 0.00883056 -0.00397431 0.00467534 -0.00244164 0.00271607 0.000696317 0.00104427 -0.000352318 0.000300986 0.000314749 0.000662731 0.00185526 0.00120667 -0.000688904 0.00107467 0.00115799 0.000502835 0.0473068 0.00477811 -0.00343285 0.00472141 0.32199 0.024193
blood_rbc_distrib_width 0.0529996 0.00845765 0.0296475 0.00571967 0.00889631 0.00255443 0.000616689 0.000550188 0.00503095 0.00145525 0.052195 0.0104216 0.0859209 0.00929056 0.0437892 0.00684134 0.0103481 0.00403843 0.00349051 0.00235832 0.00100262 0.0010127 8.79104e-05 0.000264738 -0.00114358 0.000619905 0.001341 0.00106996 0.00229027 0.00100684 0.000568736 0.000483915 -0.0178993 0.00407244 0.0179856 0.00407955 0.279096 0.0238955
blood_reticulocyte 0.0454587 0.00669466 0.0376445 0.00708938 0.011889 0.00343897 0.00213007 0.000495176 0.00553622 0.00129813 0.0515691 0.0094925 0.0873326 0.00919908 0.0553821 0.00978309 0.00702742 0.00402786 0.00453091 0.00214424 -0.000575565 0.000791762 -0.000365748 0.000237922 0.000148885 0.000725827 0.00153306 0.00118179 0.00240568 0.000973872 7.56166e-05 0.000486269 -0.0256 0.00434935 0.0147803 0.0043477 0.296942 0.0213314
blood_wbc_count 0.0518934 0.00624502 0.0373526 0.00484392 0.00784326 0.00175707 0.00242717 0.00089693 0.00568463 0.00134344 0.0501108 0.0049174 0.082058 0.00472296 0.0429214 0.00581036 0.0275099 0.0042878 0.0133688 0.00229389 -0.000322239 0.000907781 9.32652e-05 0.000261129 0.000301039 0.000776299 0.00282047 0.00128519 0.00514229 0.0012477 0.00202565 0.000770382 -0.00747289 0.00422573 0.0509392 0.00420792 0.280291 0.0161979
bmd_heel_tscore 0.0614996 0.0136815 0.05868 0.0114062 0.0107595 0.0037978 0.00427505 0.00154981 0.0157087 0.0048149 0.0578074 0.00823217 0.142588 0.0167302 0.0658543 0.0113485 0.0039154 0.013501 -0.000235019 0.00842104 -0.00681982 0.00286946 -4.79026e-05 0.000819148 0.00195608 0.00187383 -0.00128421 0.00360131 0.00525246 0.00337895 -0.00224904 0.00147111 0.0274138 0.0142162 0.000487947 0.0141726 0.417172 0.0311848
bmi 0.0571247 0.00523762 0.046702 0.00526592 0.0123537 0.00277685 0.00377617 0.000694186 0.00678599 0.00109606 0.046245 0.00324083 0.106747 0.0072341 0.0514002 0.0130834 0.0380155 0.00492632 0.0109609 0.00257587 0.00220879 0.000918933 -0.000191251 0.000261833 0.000875103 0.000619915 0.00503433 0.00124992 0.00651881 0.0012063 0.00150948 0.000536471 -0.0273219 0.00442671 0.0649317 0.004468 0.331135 0.0106554
bp_diastolic 0.0381627 0.00466089 0.0270948 0.00370949 0.00627638 0.00151482 0.0014628 0.000377987 0.00432248 0.000903701 0.0285298 0.00242891 0.0618903 0.00286956 0.0322856 0.00352395 0.0010376 0.00359684 -0.000783938 0.0024303 0.00067372 0.00101246 0.000179672 0.000301194 -0.000287776 0.000542703 0.00256948 0.00107863 0.00140582 0.00124011 0.00112155 0.000506574 0.00823498 0.00423246 0.00591613 0.00419738 0.200025 0.00836989
bp_systolic 0.0414487 0.00431177 0.025689 0.00341181 0.00721174 0.00139855 0.000992512 0.000413488 0.00375077 0.000840861 0.0327223 0.00288449 0.0652363 0.00313748 0.035207 0.00310208 0.00188842 0.00356724 -0.00152885 0.00229052 -4.46794e-05 0.00088932 0.000619948 0.00032284 -0.000457206 0.000593059 0.00208091 0.000971414 0.00209576 0.00120122 0.00111308 0.000608333 0.00626946 0.00406911 0.00576738 0.00407442 0.212258 0.0080996
