pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
blood_mscv 0.0705609 0.00995359 0.0488871 0.00888448 0.00866044 0.00378796 0.00141246 0.000710283 0.00667677 0.00165454 0.0535397 0.00928415 0.0840411 0.0105821 0.0442223 0.0082222 -0.00803679 0.00657411 0.000476875 0.00425288 0.000727154 0.00152461 0.000145307 0.000655627 -0.000459733 0.00107131 0.00136299 0.00187758 0.00128079 0.00227561 -0.00222423 0.00146446 -0.00561183 0.00840688 -0.00672764 0.00775985 0.318001 0.0256827
blood_platelet 0.0768184 0.0115311 0.0657586 0.0153494 0.0132977 0.00338128 0.000976845 0.000876431 0.00971979 0.0027904 0.0659383 0.00966567 0.129693 0.0125991 0.0466949 0.00887406 0.0024581 0.00657754 -0.00357896 0.00404461 -0.00144132 0.00166192 0.00125254 0.000565932 0.000487036 0.00112955 0.000620579 0.00212795 0.00266769 0.0027528 0.00112943 0.00146649 -0.0474322 0.00876883 0.00359509 0.0078379 0.408898 0.0318439
blood_platelet_distrib_width 0.0692718 0.0205135 0.0512846 0.0143406 0.00989494 0.00512424 0.000229565 0.00069854 0.00992792 0.00411491 0.0415075 0.00669544 0.112427 0.0136609 0.0548532 0.00958487 0.000600302 0.0075184 0.00033524 0.00454393 0.00481857 0.00176243 -0.000739576 0.000536969 0.00150854 0.00103173 0.000763267 0.00197658 -0.000506071 0.00264778 0.00167122 0.00194576 -0.000726783 0.0088172 0.00845149 0.00819601 0.349397 0.0451648
blood_rbc_count 0.0617064 0.00837461 0.0457955 0.00726848 0.00816772 0.00274686 0.00197919 0.000954029 0.00996681 0.00249805 0.0527944 0.00589416 0.101107 0.0115143 0.0471805 0.00684927 -0.00985588 0.00706955 -8.00459e-05 0.00441501 0.000275516 0.00180068 0.000436507 0.000724849 0.000232704 0.00109364 0.000932335 0.00193413 0.00275349 0.00220854 -0.0016224 0.00193075 -0.159406 0.00773153 -0.00692777 0.00700603 0.328698 0.0251704
blood_rbc_distrib_width 0.052435 0.00926068 0.0238773 0.00659268 0.0085285 0.00274201 0.000600648 0.000654314 0.00455498 0.00155985 0.0445691 0.00983647 0.0890676 0.00912583 0.0450648 0.00662582 -0.00225325 0.00672792 0.00941469 0.00403621 -0.000313049 0.00145348 0.000157464 0.000495258 0.000534255 0.00115609 0.00825683 0.00233406 -0.00392686 0.00259796 -0.000868006 0.00178614 -0.0135009 0.00794373 0.0110021 0.00762414 0.268698 0.023121
blood_reticulocyte 0.0377097 0.00889482 0.0443531 0.00748734 0.0117177 0.00353583 0.00277807 0.000645934 0.00593038 0.00167652 0.0500078 0.0101372 0.0814936 0.00891672 0.0560323 0.00908944 0.00466481 0.00733631 -0.0114216 0.00376944 -0.000206669 0.00157441 -0.000680954 0.000513627 -0.000213461 0.000978762 0.00133853 0.00224695 0.00429878 0.0021726 -0.00132902 0.00265477 0.0351679 0.00833708 -0.00354961 0.00784867 0.290023 0.020956
blood_wbc_count 0.0463818 0.00829485 0.0381913 0.00531157 0.00589419 0.00219173 0.00253824 0.000860062 0.00627326 0.00152541 0.0486647 0.00508694 0.0811542 0.00492506 0.0409811 0.00609212 0.00525183 0.00676166 -0.000688266 0.00388116 0.00201678 0.00180523 4.73733e-05 0.000574148 -0.000988008 0.00114198 -0.000875774 0.00213961 0.0011144 0.00207195 0.000351866 0.00189227 0.0190236 0.00802336 0.0062302 0.0076562 0.270079 0.0174978
bmd_heel_tscore 0.0597321 0.0237418 0.0508625 0.0154757 0.0102193 0.00535122 0.00426835 0.00200739 0.0134341 0.00546181 0.0533455 0.00863039 0.147732 0.0165581 0.0606088 0.0115924 0.00237882 0.0225582 0.0093826 0.011679 0.00252579 0.00425099 -0.000666598 0.00155535 0.00221967 0.00332217 0.00622021 0.00560472 -0.00492953 0.00637728 0.00388415 0.00278695 -0.100385 0.022214 0.0210151 0.0214649 0.400202 0.0346799
bmi 0.0423869 0.00722772 0.036902 0.00481494 0.0123016 0.00225693 0.00259376 0.000840918 0.00616834 0.00119441 0.0461124 0.00354151 0.0999251 0.00675535 0.0543017 0.00605102 0.0112629 0.00650548 0.00964011 0.003982 -0.00163575 0.00145872 0.000917469 0.000514151 0.000203587 0.00101964 -0.000996715 0.0021166 0.0043718 0.00213599 0.00101364 0.00206897 0.0772016 0.00765799 0.0247771 0.00709338 0.300692 0.0114061
bp_diastolic 0.0365464 0.00666862 0.0217811 0.00422149 0.00617256 0.00205885 0.00125633 0.000535531 0.00355623 0.0010584 0.0204164 0.00260634 0.0473992 0.00299435 0.0237569 0.00361931 0.00294648 0.00730812 0.00811614 0.00387288 0.000338456 0.00183835 0.000316686 0.000610111 0.00128765 0.001107 0.011347 0.00224354 0.0194686 0.00241643 0.0106701 0.00163095 -0.0392966 0.00759707 0.0544911 0.00766048 0.160885 0.00898759
bp_systolic 0.0289342 0.00674706 0.0191527 0.00427851 0.00616804 0.00185622 0.000715923 0.000595143 0.0035837 0.00122715 0.0270578 0.002986 0.0489758 0.00303717 0.0287155 0.00245878 0.0166297 0.00775088 0.00890943 0.0037605 0.00132781 0.00175216 0.000586129 0.000603839 0.000277063 0.0010931 0.00724606 0.00243441 0.0209034 0.00257951 0.00824472 0.00204731 -0.0523719 0.00873155 0.0641243 0.00873483 0.163304 0.00874108
calcium 0.0381846 0.00897762 0.0188947 0.00608302 0.0137709 0.00399712 -0.000351482 0.000674803 0.00520876 0.00178877 0.0279012 0.00415811 0.0504843 0.00474518 0.029373 0.00670231 -0.00818709 0.00828154 0.00215304 0.0046502 -0.0025725 0.00185468 0.000661563 0.000468898 0.00102062 0.00112131 0.000741274 0.00194587 0.00449213 0.00229301 -0.00120811 0.00115912 -0.0639987 0.00868476 -0.00289906 0.00886986 0.183466 0.0160066
