E	h2g	h2g.se	h2gxe	h2gxe.se	h2gxe.prop	h2gxe.prop.se	pval
Statin	0.240525	0.00854943	0.00434625	0.00216051	0.01806984720922981	0.008982475834112878	0.022126956225492763
Sex	0.253519	0.00883154	0.0101335	0.00219857	0.0399713630931015	0.008672209972428102	2.0217648882021312e-06
Age	0.252067	0.00888302	0.0111181	0.00186726	0.04410771739259801	0.007407792372662824	1.3064763772198365e-09
Smoking status	0.252376	0.00891241	0.00819937	0.00210924	0.03248870732557771	0.008357530034551622	5.0670715799074996e-05
