E	h2g	h2g.se	h2gxe	h2gxe.se	h2gxe.prop	h2gxe.prop.se	pval
Statin	0.442389	0.165064	0.0187155	0.00425806	0.04230552748825129	0.009625148907409543	5.530701328840197e-06
Sex	0.481842	0.158923	0.0138216	0.00279739	0.028684921613308927	0.005805616778944135	3.888312192605653e-07
Age	0.482796	0.158785	0.00210317	0.00195263	0.004356229131972924	0.0040444204177333696	0.14071868565725432
Smoking status	0.482975	0.159354	-0.00119298	0.00176237	-0.002470065738392256	0.0036489880428593616	0.750771012961215
