true.sigma.gxe	exactMoM.fpr	exactMoM.fpr.ci	GENIE.fpr	GENIE.fpr.ci	true.gxe.se	rand.gxe.se
0.0	0.06	0.04654742098118863	0.08	0.05317346706770211	0.029477445424288193	0.009288779676112656
0.025	0.24	0.08370829349592547	0.17	0.07362402868629235	0.03072142302353356	0.012203791837694176
0.05	0.46	0.09768589662791656	0.4	0.09601999791710057	0.035045406196393396	0.010879526618434096
0.075	0.78	0.08119227549465528	0.7	0.08981848362113448	0.03250247973529773	0.010675322540854444
0.1	0.93	0.05000881522291843	0.91	0.05609162504331639	0.03882081051713992	0.01347942626774226
