pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se sigma2_e sigma2_e.se
blood_mscv 0.0668082 0.00830349 0.0484348 0.00827982 0.00966542 0.00379914 0.0017186 0.00071714 0.00605636 0.00153391 0.0562271 0.00949892 0.0849886 0.010581 0.0430122 0.00750324 0.00263255 0.00413764 -8.07585e-05 0.00228605 -0.00027801 0.00100895 0.00034957 0.000316765 0.000824395 0.000563258 0.00152464 0.00117228 0.00123826 0.00108658 0.00134768 0.000466919 0.131865 0.0194623 0.00755832 0.00442555 0.316911 0.0249828 0.536941 0.030474
blood_platelet_distrib_width 0.0676695 0.0204802 0.0501743 0.015183 0.0146726 0.00561735 -0.000328234 0.000595722 0.0110062 0.00445379 0.0428487 0.00648066 0.111231 0.0135922 0.0517803 0.0102216 0.00181921 0.00361306 0.0027632 0.00239815 -0.000750151 0.000929144 -0.000263515 0.000250177 0.00105948 0.000692015 0.000198212 0.00107638 0.000826813 0.00120592 0.000874316 0.000605514 0.0578369 0.0322133 0.00652758 0.00445758 0.349055 0.045775 0.572678 0.0506507
blood_platelet 0.0738128 0.0101042 0.0595642 0.0146239 0.012122 0.00293967 0.00187836 0.000758395 0.0101909 0.00293016 0.0660255 0.00969146 0.130144 0.0126972 0.0507264 0.00572358 -0.00196024 0.00467715 -0.000679027 0.00232955 0.000591403 0.000964473 -9.91569e-05 0.000298715 0.000294951 0.000591147 0.00183975 0.000939944 0.00169577 0.00111555 0.00118817 0.000499614 0.00206386 0.0295835 0.00287162 0.00468237 0.404464 0.0314209 0.551521 0.0408396
blood_rbc_count 0.055413 0.0062841 0.0443907 0.0062468 0.00853786 0.00253317 0.00243333 0.000823001 0.0098698 0.00211039 0.054478 0.00593012 0.102824 0.0110287 0.0462708 0.00609505 0.00614419 0.0040679 0.0039249 0.00262982 -0.000217335 0.000839575 -0.000136811 0.000307851 0.00115996 0.000528122 0.00202578 0.00115157 0.00476824 0.00101637 0.00262288 0.000543039 -0.367109 0.0205467 0.0202918 0.004138 0.324218 0.0236315 0.740276 0.0202541
blood_rbc_distrib_width 0.0521714 0.00843924 0.03015 0.00579189 0.0087187 0.00249861 0.000929148 0.000573149 0.00453273 0.00133017 0.0521949 0.0103427 0.085783 0.00919703 0.0448423 0.00647032 0.00207427 0.00392525 0.0080363 0.00256852 5.31978e-05 0.000942206 -8.81856e-05 0.000297065 -8.26246e-06 0.000626008 0.00236726 0.0012308 0.00248138 0.00114922 0.00123989 0.000619703 0.818647 0.0180817 0.0161558 0.00435726 0.279322 0.023276 -0.112373 0.0284156
blood_reticulocyte 0.0440694 0.00651253 0.0374384 0.0073 0.0124705 0.003607 0.00229896 0.000525515 0.00563086 0.00138367 0.0518458 0.00955358 0.088523 0.00922515 0.0511582 0.0109464 0.00718041 0.00359434 0.00330516 0.0021819 0.000513107 0.000973632 -0.00022186 0.000299622 0.000752709 0.000517472 -0.0003735 0.00110779 0.00258403 0.00101256 0.0015858 0.000511927 -0.144874 0.0280796 0.0153258 0.00411099 0.293435 0.0210375 0.820158 0.0333115
blood_wbc_count 0.0534275 0.00592764 0.0387625 0.00542213 0.00850833 0.0021304 0.0026033 0.000902552 0.00563795 0.00134535 0.0490443 0.00470819 0.0834513 0.00476369 0.0367858 0.00885137 0.00523666 0.00419604 0.00471593 0.00259068 0.000391697 0.0009065 0.000267638 0.000344443 0.000335545 0.000614776 0.0024 0.00118057 0.00309701 0.00119526 0.000373691 0.000453391 0.0502674 0.0175038 0.0168182 0.0044435 0.278221 0.0154445 0.649876 0.0225151
bmd_heel_tscore 0.0657657 0.0136026 0.0623153 0.011474 0.0118366 0.00402553 0.00419812 0.00163703 0.015539 0.00478391 0.0584983 0.008359 0.144568 0.0171877 0.0633058 0.0140379 0.0201846 0.0133151 0.000359978 0.00819665 0.00131221 0.00265661 -0.000202286 0.00106302 -0.00403945 0.00175679 -0.000824621 0.00280812 0.00483388 0.00360638 0.00473925 0.0014823 -0.303258 0.0336956 0.0263636 0.0141359 0.426027 0.0325234 0.782804 0.048175
bmi 0.0552289 0.00566034 0.0438065 0.00427938 0.0115255 0.0019331 0.00385944 0.000626877 0.0060957 0.00115922 0.0475225 0.00319478 0.105557 0.00676839 0.059528 0.00617515 -0.00163285 0.00431497 0.00391103 0.00254713 -0.000143137 0.000956515 -0.000221135 0.000323143 0.000146196 0.000605392 0.00418921 0.00119059 0.00649049 0.00108093 0.00457405 0.000694233 1.52426 0.0228213 0.0173139 0.0041589 0.333123 0.00966935 -0.855594 0.0242722
bp_diastolic 0.0364157 0.00488213 0.0261907 0.00356963 0.00640167 0.00159758 0.0015238 0.000356596 0.00457395 0.000916988 0.0281961 0.00244767 0.0612139 0.00283634 0.0309541 0.00361097 0.00589754 0.00452253 0.00272614 0.00311172 -6.00078e-05 0.00103353 0.000224631 0.000302804 -0.000182634 0.000726841 0.00236618 0.001123 0.00548089 0.0011984 0.0027872 0.000776537 0.112339 0.0128718 0.0192399 0.00443282 0.19547 0.00857376 0.650025 0.014762
