pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se sigma2_e sigma2_e.se
blood_mscv 0.0667171 0.00835173 0.0500852 0.00902969 0.0105641 0.0040544 0.00174344 0.000726693 0.00636036 0.00161699 0.0561769 0.00953269 0.0865031 0.0108983 0.0350235 0.0122184 0.00368994 0.00380441 -0.00118279 0.00216712 0.000689904 0.00101908 0.000317441 0.000281075 0.000564322 0.000603505 0.00158777 0.0012152 0.00127279 0.00108901 0.00115718 0.000586854 -0.0525595 0.0209232 0.00809655 0.0041377 0.313174 0.0253426 0.722231 0.0339862
blood_platelet_distrib_width 0.0700879 0.0205436 0.0507446 0.0152679 0.0147657 0.0056585 -0.00029092 0.000595071 0.0110212 0.00445345 0.0428031 0.00655087 0.111828 0.0137561 0.0507372 0.010683 0.000485768 0.00358695 0.00122791 0.00238237 -0.000373159 0.00087076 -0.000119725 0.000278716 0.000878434 0.000586108 0.000239273 0.00108062 0.00198765 0.00110774 0.000133712 0.000505803 -0.195307 0.0255478 0.00445987 0.0042305 0.351697 0.0461333 0.819286 0.0510338
blood_platelet 0.0801477 0.0101699 0.0633477 0.0150182 0.0123316 0.00316692 0.00200293 0.000785232 0.0101978 0.00280545 0.0658991 0.00974014 0.132941 0.012958 0.0488626 0.00900057 -0.000398645 0.00493195 -0.000238093 0.0022331 0.00037378 0.000949043 6.94994e-05 0.000285879 -3.01211e-05 0.000549039 0.00179741 0.000892874 0.00193551 0.00095374 0.000825313 0.000436858 0.0429445 0.0236808 0.00433465 0.00487754 0.415731 0.0322994 0.501449 0.0407777
blood_rbc_count 0.0568624 0.00652495 0.0459493 0.00724128 0.00949847 0.00299138 0.00256316 0.00086698 0.0102481 0.00219675 0.0541529 0.00591049 0.104391 0.011394 0.0374415 0.0126432 0.00649741 0.00394733 0.00353269 0.00263214 0.000925394 0.000874305 0.000103315 0.000335478 0.00081716 0.000514331 0.00168862 0.0011354 0.00562864 0.00103013 0.0021285 0.000585091 0.43325 0.0229563 0.0213217 0.00405043 0.321107 0.0243526 0.162408 0.0261607
blood_rbc_distrib_width 0.0508565 0.00808088 0.0291915 0.00568452 0.00861001 0.00246182 0.000689863 0.000541981 0.0049843 0.00140367 0.0516767 0.0103763 0.0850004 0.0091063 0.0453875 0.00624504 0.00367179 0.00412226 0.00735329 0.00253317 0.000455802 0.000874363 1.46234e-05 0.000261118 -0.000727151 0.000586042 0.00121501 0.00103425 0.00121004 0.00101786 6.5768e-05 0.0005697 -0.799587 0.0217967 0.0132592 0.00428938 0.276397 0.0232798 1.48675 0.0303684
blood_reticulocyte 0.0475769 0.00692353 0.039253 0.00801375 0.0131808 0.00400237 0.00265191 0.000629013 0.00577353 0.00138959 0.0520661 0.00953296 0.0904835 0.00955506 0.045676 0.0149427 0.00594213 0.00366002 0.00176007 0.00220537 0.00162423 0.000927249 -0.000267349 0.000295109 0.000493259 0.000470039 -0.000145719 0.00100738 0.00405326 0.0010056 0.00115747 0.000487535 -0.00643344 0.0229846 0.0146173 0.00387459 0.296662 0.0218077 0.681891 0.0327088
blood_wbc_count 0.0530203 0.00592133 0.0375822 0.00528061 0.00853514 0.0020197 0.00258999 0.000945302 0.00571104 0.00135829 0.0492476 0.00470858 0.0829399 0.00468206 0.0379004 0.00790061 0.00772862 0.00379049 0.00393498 0.00275781 0.000478488 0.00089901 -1.50552e-05 0.000312777 0.000188776 0.000604703 0.00201221 0.00120833 0.00350567 0.00117122 0.000545925 0.000467476 -0.0524805 0.0207174 0.0183796 0.00416671 0.277527 0.0153735 0.751277 0.0253907
bmd_heel_tscore 0.0688442 0.0147424 0.0572359 0.010869 0.0109841 0.00374206 0.00351432 0.00146416 0.0154196 0.00480005 0.0568869 0.00836381 0.140375 0.0167802 0.0693791 0.00890886 0.0216769 0.012768 -0.00199384 0.00833513 0.00186582 0.00263458 0.000110098 0.00100745 -0.00523576 0.00170387 1.19646e-06 0.00323104 0.00218415 0.00350168 0.00281126 0.00134905 0.418982 0.0330121 0.0214198 0.0137244 0.422639 0.0322016 0.126007 0.0434983
bmi 0.0560844 0.00535557 0.0455733 0.00500258 0.0123236 0.00245123 0.00348109 0.000602312 0.00688083 0.0010684 0.0469065 0.00312805 0.106952 0.00706173 0.0545745 0.0108931 -0.000868557 0.00383452 0.00246752 0.00224639 0.000456872 0.00094006 2.74964e-05 0.000337631 -0.000486901 0.000552271 0.0027536 0.0010875 0.00360399 0.00104258 0.00204736 0.000586318 -1.27912 0.022538 0.0100014 0.00372738 0.332777 0.0102251 1.89422 0.0247966
bp_diastolic 0.0351478 0.00488995 0.0263216 0.00354906 0.00596763 0.00144449 0.00156854 0.000369117 0.00453615 0.000915624 0.0286518 0.00247627 0.0599392 0.00274935 0.0329356 0.00292384 0.00653166 0.00478 0.00414981 0.00310161 -1.2561e-05 0.00107346 -2.61197e-06 0.000285567 -0.000300855 0.000670856 0.00101882 0.0010891 0.00344283 0.00112327 0.00131791 0.000723984 -0.176703 0.0156768 0.016145 0.0049013 0.195068 0.00842557 0.932723 0.0151977
