pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
blood_mscv 0.064335 0.00837102 0.0480165 0.00832486 0.0095242 0.00380875 0.00138779 0.000639809 0.00606382 0.00154786 0.0552684 0.00964748 0.0835476 0.0104843 0.0412089 0.00778483 -0.00376178 0.00381449 0.00121458 0.0022903 -0.000477566 0.000938112 -8.01106e-05 0.000287922 0.000359066 0.000675019 -0.000488062 0.00111613 -0.000480742 0.00123147 -0.000196988 0.000400271 0.00715132 0.00433826 -0.00391161 0.00432633 0.309352 0.0251795
blood_platelet 0.0753047 0.0101887 0.0619732 0.014694 0.0118256 0.00293145 0.00181319 0.000752415 0.00987592 0.00281333 0.0659266 0.00959351 0.130166 0.0126896 0.050266 0.0061336 0.00491707 0.00397233 -0.00114387 0.00235885 -0.000543641 0.000885564 0.000459354 0.000290523 -0.000521774 0.000597378 0.0017001 0.00116229 0.000887941 0.00111667 0.000723036 0.000538732 0.00372525 0.00409653 0.00647822 0.00409076 0.407152 0.0316078
blood_platelet_distrib_width 0.0709421 0.0203441 0.0507423 0.0152651 0.0150411 0.00565164 -0.00043051 0.000608646 0.0108835 0.00443415 0.0423959 0.00655157 0.112032 0.0137802 0.0541607 0.00955344 -0.00294776 0.0043445 0.00503226 0.00251685 0.00159428 0.000956634 -1.70922e-05 0.000258976 -0.000136939 0.000463212 0.00163254 0.000880182 -0.000703615 0.00110432 -9.03251e-05 0.000434683 -0.0052191 0.00436785 0.00436335 0.00434496 0.355767 0.0462173
blood_rbc_count 0.0552019 0.0061123 0.0464888 0.0068411 0.0093748 0.00285459 0.00244749 0.000841047 0.0100267 0.00214685 0.0540206 0.00593665 0.103019 0.0110479 0.0412737 0.0103628 -0.00622519 0.00444102 0.000793848 0.0026154 -0.000307509 0.000991724 0.000141457 0.000487578 -0.0008957 0.000650571 0.00101688 0.00114312 -0.000863452 0.00123455 -0.000123292 0.000530926 0.0463098 0.0047416 -0.00646295 0.00476941 0.321853 0.0236494
blood_rbc_distrib_width 0.0502965 0.008262 0.0302498 0.00579388 0.00857419 0.00249596 0.000629258 0.000522905 0.00471752 0.0014065 0.0516049 0.0104354 0.0846104 0.00909195 0.0429534 0.00677728 0.00587335 0.00372508 -0.000748127 0.0021497 -6.22243e-05 0.000898433 3.00607e-05 0.000246723 0.000220146 0.000505483 0.000747722 0.00107036 0.000162207 0.00119983 0.000115203 0.0004053 -0.00504005 0.0039673 0.00633834 0.00394539 0.273636 0.0235237
blood_reticulocyte 0.0424795 0.00645863 0.0375781 0.00719189 0.0128508 0.00366504 0.00210363 0.000502474 0.00536385 0.00139812 0.0509423 0.00997086 0.0857123 0.00918311 0.0517311 0.0100459 -0.00224801 0.00441461 -4.34965e-07 0.00237281 -0.000340156 0.000852298 -9.15313e-05 0.000224543 0.000350351 0.000490285 0.00106141 0.00107342 0.00122619 0.000928843 -0.000558321 0.000408327 -0.00602499 0.00461056 -0.000600501 0.00460451 0.288762 0.0216299
blood_wbc_count 0.0525128 0.00606332 0.0383676 0.00535138 0.00862287 0.00203767 0.00250872 0.000915642 0.00526502 0.00128141 0.0487387 0.00472839 0.0826226 0.00468883 0.0367217 0.00792285 0.00271558 0.00372742 0.00377606 0.00251451 0.00104427 0.000903096 -0.000395095 0.000281285 -0.000498027 0.000550631 -0.000462431 0.00103818 0.00121596 0.00113645 0.000262764 0.000530173 -0.0122608 0.00363201 0.00765909 0.0036319 0.27536 0.0155687
bmd_heel_tscore 0.0611442 0.0136491 0.0587453 0.0110353 0.0108885 0.00347974 0.00335642 0.00147698 0.0150499 0.00475688 0.0576708 0.0081653 0.141483 0.0168131 0.0698163 0.00872838 0.0113393 0.0133143 -0.00160566 0.00755261 0.00174286 0.00317203 0.000637745 0.000876562 -0.00201793 0.00144838 -0.00582125 0.00368169 0.000342444 0.00315126 -0.000690077 0.00142034 0.013242 0.0121303 0.00392739 0.0121098 0.418155 0.0316349
bmi 0.0492304 0.00513655 0.0428891 0.00412114 0.0109961 0.0018658 0.00295625 0.000613054 0.00613554 0.00102153 0.0458607 0.00321667 0.101125 0.00656287 0.0554401 0.00594574 0.00226822 0.00388673 0.000263898 0.0021576 -0.000745115 0.000806524 0.000236008 0.000290815 0.000899886 0.000579443 0.00128735 0.00106531 0.0014716 0.000827284 0.000578918 0.000470978 -0.0286125 0.00417433 0.00626076 0.00416117 0.314633 0.00964453
bp_diastolic 0.0393933 0.00495735 0.0278025 0.00364956 0.0064775 0.00152859 0.00152981 0.000372018 0.00449935 0.000933475 0.0292063 0.00245544 0.0626001 0.00290271 0.032513 0.00365706 0.0055482 0.0041216 0.0013006 0.00234266 -0.000842796 0.00091475 0.000195895 0.000341341 0.000111895 0.000606314 0.00197604 0.00105389 0.00411558 0.00130993 0.00136224 0.000619368 -0.0123885 0.00389231 0.0137677 0.00391342 0.204022 0.00866036
