true.g	true.gxe	true.nxe	fpr.gxe	fpr.gxe.ci	fpr.gxe.adj	fpr.gxe.adj.ci
0.25	0.1	0	1.0	0.0	1.0	0.0
0.25	0.05	0	1.0	0.0	1.0	0.0
0.25	0.01	0	1.0	0.0	0.98	0.014142135623730956
0.25	0.005	0	0.96	0.019595917942265433	0.39	0.07652450587883596
0.25	0.02	0	1.0	0.0	1.0	0.0
0.25	0.04	0	1.0	0.0	1.0	0.0
0.25	0.08	0	1.0	0.0	1.0	0.0
