true.gxe	true.nxe	true.g	h2.g	h2.g.se	h2.gxe	h2.gxe.se	fpr.gxe	fpr.gxe.ci	fpr.gxe.adj	fpr.gxe.adj.ci
0.1	0	0.25	0.24824242000000002	0.01617209855039228	0.09802995899999999	0.02327030293060275	1.0	0.0	0.7	0.08981848362113448
0.1	0	0.25	0.25368327999999996	0.013711589851713038	0.09944913400000001	0.015758903642431602	1.0	0.0	1.0	0.0
0.1	0	0.25	0.24581925000000002	0.0077798459501136645	0.10257100999999999	0.008280799498170451	1.0	0.0	1.0	0.0
0.1	0	0.25	0.24925386	0.006656351078511409	0.10298848499999998	0.003839709363880943	1.0	0.0	1.0	0.0
0.05	0	0.25	0.24966522000000005	0.018581953576295468	0.0482499807	0.02023841490135965	0.77	0.08248317161700318	0.16	0.07185478689690757
0.05	0	0.25	0.25751356999999997	0.013643644300006507	0.04870769000000001	0.011933944703185949	0.99	0.01950175376728976	0.66	0.09284691917344376
0.05	0	0.25	0.24820556	0.008541322265691653	0.050517587	0.005703497764927326	1.0	0.0	1.0	0.0
0.05	0	0.25	0.24889558999999994	0.006631649541546961	0.05093112399999999	0.0027228171516692047	1.0	0.0	1.0	0.0
0.01	0	0.25	0.24786866999999999	0.01644007172189647	0.011770958412999999	0.016828491607442268	0.18	0.0753007410322103	0.0	0.0
0.01	0	0.25	0.25735072	0.013075195535883967	0.007979503653500001	0.009979533253913727	0.16	0.07185478689690757	0.0	0.0
0.01	0	0.25	0.25008275999999996	0.008079533786203259	0.01008996276	0.005780325194402627	0.58	0.09673746740534404	0.07	0.05000881522291845
0.01	0	0.25	0.25194481999999996	0.00637062789115798	0.010710530200000002	0.0019721029644133594	1.0	0.0	0.98	0.02744000000000001
0.005	0	0.25	0.24971776	0.018915824620206228	0.00197983262	0.016251455562623137	0.03	0.03343509533409468	0.0	0.0
0.005	0	0.25	0.25615939	0.012716774344066187	0.00672540197	0.010281156119521895	0.12	0.06369246109234593	0.01	0.01950175376728975
0.005	0	0.25	0.24824666000000004	0.008667827846952199	0.0048606968300000004	0.005069283421235228	0.23	0.08248317161700318	0.0	0.0
0.005	0	0.25	0.25121466000000003	0.005926800469426991	0.0059104549	0.0016091138550341894	0.96	0.03840799916684025	0.39	0.09559898744233644
